region,예측대상수,평균점수_A,평균점수_B,A상위10퍼센트비율,위험판정0건지역
서울특별시 종로구,83,0.004586214717008526,0.027471288593808235,0.012048192771084338,True
서울특별시 용산구,81,0.11661224136606718,0.039385197618026495,0.9753086419753086,False
대전광역시 동구,81,0.0480519499579562,0.02157227021742302,0.13580246913580246,False
전남광주통합특별시 나주시,79,0.003082900727498275,0.028787409290526235,0.0759493670886076,False
부산광역시 북구,78,0.012177166553418843,0.018325569419710273,0.0,False
부산광역시 금정구,78,0.007634594193540951,0.01679256825885544,0.038461538461538464,False
강원특별자치도 춘천시,78,0.0040297182888505085,0.023811034986502562,0.05128205128205128,True
경기도 평택시,77,0.002033477776898512,0.01410761956178001,0.03896103896103896,True
인천광역시 부평구,75,0.0018952031288176996,0.017419609941926272,0.013333333333333334,True
경상북도 경산시,69,0.01171464331908425,0.01760254627585802,0.0,False
충청북도 충주시,68,0.01726792425313595,0.015341056454625912,0.0,False
충청남도 서산시,67,0.002139828431650545,0.015504413037185989,0.04477611940298507,True
부산광역시 연제구,66,0.024694308851329155,0.015798309334456192,0.0,False
부산광역시 강서구,64,0.01195975178114163,0.01692652678084079,0.0,True
경기도 시흥시,62,0.001847715148490202,0.02319104626409084,0.04838709677419355,True
전남광주통합특별시 서구,61,0.018864714617437713,0.01744895186074457,0.06557377049180328,False
울산광역시 울주군,61,0.05932519756891015,0.01761217417136928,0.6557377049180327,False
인천광역시 영종구,61,0.013189349922387746,0.01531387747097585,0.01639344262295082,False
강원특별자치도 태백시,60,0.09674580971617067,0.04145330191858085,0.65,False
강원특별자치도 강릉시,58,0.0843061970531,0.03762368549413415,0.15517241379310345,False
충청북도 음성군,58,0.01209737552498088,0.025363798793055253,0.05172413793103448,False
울산광역시 북구,57,0.027638703375383603,0.015715505075869402,0.15789473684210525,False
대구광역시 북구,56,0.008833892621049166,0.013446264705077775,0.0,False
인천광역시 계양구,55,0.018616170343609795,0.020674712793795694,0.03636363636363636,False
경기도 하남시,55,0.005955316501340169,0.021646130241235375,0.09090909090909091,False
경기도 남양주시,55,0.00605394309954161,0.020330427665224037,0.05454545454545454,False
경기도 파주시,53,0.00591219813473307,0.023092645573744634,0.16981132075471697,True
대전광역시 중구,53,0.008481897986924019,0.0261268186680458,0.05660377358490566,False
제주특별자치도 서귀포시,52,0.047532096432766915,0.02320144798030879,0.25,False
대구광역시 달성군,52,0.01397117570635548,0.02569255182344547,0.07692307692307693,False
경상북도 칠곡군,50,0.04520082890542859,0.01959001623268086,0.26,False
전남광주통합특별시 동구,49,0.04557023471623075,0.016821335501764702,0.2857142857142857,False
경기도 김포시,49,0.16837871089696857,0.027607275937150247,0.6938775510204082,False
대구광역시 중구,45,0.010503486018558243,0.017122478022145286,0.0,False
전북특별자치도 정읍시,43,0.04676530191399014,0.018725084130762484,0.3023255813953488,False
전북특별자치도 군산시,41,0.025615239298539615,0.02077603245977753,0.0975609756097561,False
서울특별시 중랑구,40,0.008697188676824147,0.016502323931661178,0.0,False
울산광역시 중구,38,0.006454687862943743,0.020105623273729552,0.02631578947368421,False
대구광역시 서구,37,0.04403142381710123,0.04733303580750561,0.2702702702702703,False
경기도 안산시,37,0.02093801681109765,0.026985385249941967,0.10810810810810811,True
서울특별시 서울특별시,37,0.06935809160204587,0.06787400851864815,1.0,False
제주특별자치도 제주특별자치도,35,0.22481866147754972,0.03341895281178681,1.0,False
경기도 의정부시,35,0.002955727204027046,0.01849059279088583,0.05714285714285714,True
강원특별자치도 속초시,35,0.004507272978858624,0.020116073317878683,0.05714285714285714,False
경기도 양주시,34,0.004698238498103754,0.022350243547201793,0.029411764705882353,False
울산광역시 동구,31,0.02899891266918498,0.022931589079162956,0.12903225806451613,False
경기도 부천시,31,0.03477073234724097,0.021333501136249024,0.12903225806451613,False
전남광주통합특별시 광양시,30,0.024568194916807652,0.02231359254893475,0.0,False
강원특별자치도 홍천군,30,0.24276790419989122,0.06591944980965607,0.5,False
경기도 광주시,30,0.0018343528059681549,0.012274408002435892,0.0,True
경기도 안양시,29,0.01549187830816613,0.01972008133671513,0.034482758620689655,False
경상남도 통영시,28,0.010816844751079576,0.0235015042240582,0.14285714285714285,False
충청남도 논산시,28,0.018441157380389785,0.016904405794330456,0.03571428571428571,False
대구광역시 동구,27,0.012901976687727646,0.04727758374817234,0.07407407407407407,False
강원특별자치도 평창군,27,0.014885969883169013,0.03176357236441658,0.2222222222222222,False
경상북도 김천시,26,0.01701996781046244,0.016889297978771353,0.038461538461538464,False
전북특별자치도 김제시,24,0.05689456851294253,0.023711482942404546,0.375,False
부산광역시 영도구,24,0.022757340863133507,0.02152628115087171,0.0,False
전북특별자치도 남원시,24,0.028171396936587278,0.03788012578924909,0.08333333333333333,False
경상남도 경상남도,24,0.409448235060306,0.2550752742164066,1.0,False
경기도 오산시,23,0.0019621666669416317,0.014584461774415304,0.0,True
미상 미상,23,0.6566038028775695,0.11907893807983527,1.0,False
경기도 이천시,22,0.01050880525480048,0.017323040166591905,0.045454545454545456,True
부산광역시 서구,22,0.012029946880556962,0.015751012733401685,0.0,False
전남광주통합특별시 여수시,20,0.0071215503052412974,0.01710097327648097,0.05,False
전북특별자치도 부안군,20,0.005995050637723181,0.028128403941613506,0.35,False
인천광역시 제물포구,20,0.011200139083824012,0.025506021584227507,0.1,False
경상북도 영천시,20,0.016400443833240096,0.025313232859934247,0.05,False
