검증,모델,그룹,n,위험군,기준선,PR-AUC,PR-AUC 배수,ROC-AUC,Recall@5%,Lift@5%,Recall@10%,Lift@10%,Recall@20%,Lift@20%,PR-AUC 반복 표준편차,PR-AUC CI하한,PR-AUC CI상한
R1 랜덤 5-fold (같은 지역),랜덤포레스트,공식점검,12064,1356,0.11240053050397877,0.3694051255851425,3.2865069580082293,0.8120231765074055,0.22861356932153393,4.5737878943532095,0.35988200589970504,3.600013697490913,0.5759587020648967,2.8795548204355224,0.0,0.3467150830681491,0.3969240969445441
R1 랜덤 5-fold (같은 지역),랜덤포레스트,자율점검,43005,819,0.01904429717474712,0.10509115586274814,5.518248056016464,0.795548647952289,0.32112332112332115,6.42321322088764,0.4468864468864469,4.469384104267825,0.6031746031746031,3.0158730158730163,0.0,0.09215690008080916,0.12368747793861874
R2 시군구 단위 (처음 보는 지역),업종(ftype) 위험률,전체,55069,2175,0.03949590513719153,0.12320453952540218,3.119425649252585,0.7454374881476972,0.24475095785440612,4.895819287353539,0.3891187739463602,3.8911170805251687,0.5685823754789271,2.8428602537905427,0.00015297965185034077,0.11436281607128354,0.1320178846977326
R2 시군구 단위 (처음 보는 지역),업종(ftype) 위험률,공식점검,12064,1356,0.11240053050397876,0.16172077314396124,1.4387901233102864,0.6362539343304282,0.07079646017699115,1.4163988317997038,0.16789577187807278,1.679514587012496,0.3407079646017699,1.7033986261731258,0.00034909939662977727,0.15168298329668398,0.17155265471577627
R2 시군구 단위 (처음 보는 지역),업종(ftype) 위험률,자율점검,43005,819,0.01904429717474712,0.024404571957384453,1.281463512853869,0.572677580097103,0.07570207570207571,1.5142175653803562,0.1505901505901506,1.5060766107277737,0.2673992673992674,1.336996336996337,6.289914711343113e-05,0.0220203443517954,0.027331880399378793
R2 시군구 단위 (처음 보는 지역),로지스틱(balanced),전체,55069,2175,0.03949590513719153,0.12062863020578944,3.054205993932238,0.7122590355293107,0.21777777777777776,4.356267506154901,0.33685823754789274,3.368521206378228,0.4957854406130268,2.478882188952131,0.001763707623446762,0.11239123280820641,0.1345692964557963
R2 시군구 단위 (처음 보는 지역),로지스틱(balanced),공식점검,12064,1356,0.11240053050397876,0.1701384615597801,1.5136802361778667,0.5926940461904809,0.11430678466076698,2.2868939471766048,0.1902654867256637,1.9032859302308516,0.32325467059980334,1.616139389190231,0.002726629793111971,0.15918600555912482,0.1878816776813289
R2 시군구 단위 (처음 보는 지역),로지스틱(balanced),자율점검,43005,819,0.01904429717474712,0.026455816509192178,1.3891726361145418,0.5614968488196573,0.0989010989010989,1.9782519805775618,0.17826617826617827,1.7828690689155806,0.29181929181929184,1.4590964590964592,0.0009927644442116511,0.025271410223194082,0.03276924980595691
R2 시군구 단위 (처음 보는 지역),랜덤포레스트,전체,55069,2175,0.03949590513719153,0.15857054316765282,4.014860341011252,0.7648627291451261,0.27264367816091956,5.453764879274855,0.3967816091954023,3.9677440415437815,0.5825287356321839,2.912590788317481,0.0,0.14695731150463348,0.17252272348175116
R2 시군구 단위 (처음 보는 지역),랜덤포레스트,공식점검,12064,1356,0.11240053050397877,0.2131578266243506,1.8964129943924526,0.6544752813489323,0.1275811209439528,2.5524687281390497,0.2359882005899705,2.3606647196661728,0.40486725663716816,2.0241684973355976,0.0,0.19684725960271635,0.22977982759795312
R2 시군구 단위 (처음 보는 지역),랜덤포레스트,자율점검,43005,819,0.01904429717474712,0.03329822416581655,1.7484616974980962,0.6244646867957919,0.11721611721611722,2.3445949399437773,0.1978021978021978,1.9782519805775622,0.3528693528693529,1.7643467643467643,0.0,0.030197123142203106,0.03936595692054621
R2 시군구 단위 (처음 보는 지역),HGB(튜닝),전체,55069,2175,0.03949590513719153,0.1372677651038213,3.4754935891964753,0.6948681763150389,0.24061302681992336,4.813047139101474,0.34896551724137925,3.4895918047876364,0.5406896551724137,2.7033991847366665,0.004645002168767511,0.11803309109858895,0.14108733173679763
